date,open,high,close,low,volume,amount
2018-05-24,25.92,25.92,24.72,24.4,28678354.0,717899004.0
2018-05-23,25.83,26.38,25.94,25.62,21853964.0,570351471.0
2018-05-22,25.99,26.05,25.87,25.58,13443650.0,347050076.0
2018-05-21,25.19,26.05,25.87,25.19,26854423.0,693442893.0
2018-05-18,25.0,25.06,24.92,24.6,11594976.0,288119992.0
2018-05-17,25.1,25.33,25.08,24.77,13332606.0,334088965.0
2018-05-16,24.54,25.64,25.08,24.38,29358624.0,739908924.0
2018-05-15,24.82,24.9,24.7,24.21,17385842.0,427235494.0
2018-05-14,24.4,25.1,24.52,24.3,28129734.0,696421225.0
2018-05-11,24.17,24.55,24.0,23.95,25969243.0,630104120.0
2018-05-10,23.8,24.23,23.92,23.57,18372954.0,443243567.0
2018-05-09,24.12,24.22,23.82,23.61,14880370.0,357745748.0
2018-05-08,23.83,24.42,24.12,23.75,24440994.0,595019776.0
2018-05-07,23.7,23.91,23.77,23.33,21023285.0,500855012.0
2018-05-04,23.82,23.97,23.6,23.51,19646938.0,469698666.0
2018-05-03,22.64,23.8,23.72,22.57,28742254.0,673357884.0
2018-05-02,22.47,23.11,22.65,22.18,21395347.0,490029317.0
2018-04-27,22.0,22.6,22.31,21.65,34714585.0,777110944.0
2018-04-26,23.3,23.42,22.13,22.09,33626525.0,759583189.0
2018-04-25,23.31,23.6,23.3,23.08,19038799.0,447566132.0
2018-04-24,23.1,23.61,23.53,22.82,24234916.0,571113501.0
2018-04-23,22.86,23.48,22.94,22.66,24415426.0,568164832.0
2018-04-20,22.86,23.48,22.61,22.56,30885258.0,718217849.0
2018-04-19,22.58,23.11,22.8,22.31,32119679.0,740278319.0
2018-04-18,23.1,23.1,22.53,22.0,59019159.0,1333450907.0
2018-04-17,24.48,24.72,23.01,22.26,52884076.0,1237700200.0
2018-04-16,24.97,25.0,24.72,24.25,21353744.0,529844542.0
2018-04-13,25.16,25.36,24.99,24.85,14544273.0,368013399.0
2018-04-12,24.97,25.42,25.05,24.79,17639254.0,446787579.0
2018-04-11,25.29,25.48,24.95,24.66,28956014.0,731829919.0
2018-04-10,24.35,25.2,25.05,24.3,33379676.0,835414852.0
2018-04-09,23.58,24.35,24.2,23.52,29265716.0,710627998.0
2018-04-04,24.36,24.54,23.66,23.5,45973228.0,1106514311.0
2018-04-03,23.81,24.46,24.3,23.8,26542206.0,645786529.0
2018-04-02,24.76,24.77,24.2,23.73,75662090.0,1848725242.0
2018-03-30,25.44,25.83,25.41,25.27,28879195.0,742703479.0
2018-03-29,26.26,26.26,25.26,24.73,32826338.0,832356337.0
2018-03-28,25.93,26.83,26.01,25.69,24861038.0,656461395.0
2018-03-27,26.53,26.8,26.46,26.18,35559673.0,947190325.0
