关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
600519,贵州茅台在毕节成立销售公司,每经AI快讯，天眼查App显示，近日，毕节茅台酒销售有限公司成立，法定代表人为李强清，注册资本3000万元人民币，经营范围包括酒类经营、食品销售、道路货物运输等，由贵州茅台（600519）旗下贵州茅台酒销售有限公司全资持股。,2026-02-24 14:58:51,每日经济新闻,http://finance.eastmoney.com/a/202602243652654090.html
600519,贵州茅台在毕节成立销售公司，注册资本3000万,天眼查App显示，2月13日，毕节茅台酒销售有限公司成立，法定代表人为李强清，注册资本3000万人民币，经营范围包括酒类经营、食品销售、道路货物运输等，由贵州茅台（600519）旗下贵州茅台酒销售有限公司全资持股。,2026-02-24 14:45:30,界面新闻,http://finance.eastmoney.com/a/202602243652646135.html
600519,马茅价格“跳水”！茅台紧急出招：可自选农历生产日期,对此，贵州茅台（600519.SH）于26日下午宣布，消费者在i茅台APP内购买马茅经典版及礼盒装时，可在原有阳历生产日期选择基础上，新增农历生产日期自选功能，进一步强化产品情感纪念、礼赠属性和长期收藏价值。,2026-02-27 18:03:37,国际金融报,http://finance.eastmoney.com/a/202602273656817985.html
600519,贵州茅台回应“飞天出厂价上涨130元”：虚假消息 有经销商称没接到调价通知,据财联社报道，贵州茅台方面回应称，“飞天茅台出厂价上调”属虚假消息。截至发稿，贵州茅台（600519.SH）官方尚未公开发布相关公告。,2026-02-25 17:54:55,红星资本局,http://finance.eastmoney.com/a/202602253654162245.html
600519,茅台涨价传闻刷屏，公司火速辟谣：虚假信息,2月25日午间，市场突然传出“53度飞天茅台出厂价将从1169元/瓶上调至1299元/瓶”的传闻，作为贵州茅台（600519.SH）乃至白酒行业的战略单品，茅台涨价的消息一经传播迅速引来热议和市场关注。,2026-02-25 18:23:48,国际金融报,http://finance.eastmoney.com/a/202602253654182086.html
600519,错版“马茅”未了局：消费者投诉茅台要求发货,2026元旦过后，贵州茅台（600519）发售了丙午马年生肖系列酒产品，并同步在公司线上自营平台“i茅台”上开售。一经上线即告“秒空”。 不过很快，有消费者发现，“马茅”包装有错别字。贵州茅台迅速回应并提出了解决方案，错版“马茅”的喧嚣很快散去。,2026-02-26 13:52:19,财中社,http://finance.eastmoney.com/a/202602263655196215.html
600519,飞天茅台出厂价上调？贵州茅台辟谣,“贵州国资背景的茅台酒代理商是茅台酒涨价的最大阻力，每一个贵州国资的代理商都是背景强大的，目前这些单位都依靠茅台酒差价发工资保运转。”中国酒业独立评论人肖竹青接受记者采访时表示。他进一步认为，在当前大环境下，短期内茅台酒都不会涨价。,2026-02-25 14:29:44,中国基金报,http://finance.eastmoney.com/a/202602253653961131.html
600519,在i茅台购丙午马年茅台酒可自选农历日期；帝亚吉欧回应出售水井坊传闻丨酒业早参,丨2026年2月27日星期五丨 NO.12026年2月26日起，在i茅台购丙午马年茅台酒可自选农历日期 据i茅台官微消息，自2026年2月26日（丙午年正月初十）起，在i茅台APP“i购”板块购买贵州茅台酒（丙午马年）经典版/礼盒装，在自选生产日期时，除可选阳历生产日期外，,2026-02-27 09:07:10,每日经济新闻,http://finance.eastmoney.com/a/202602273656218268.html
600519,飞天茅台出厂价上调？茅台相关人士称消息不实,新京报记者注意到，贵州茅台最近一次调整出厂价格是在2023年11月1日，当时上调53%vol贵州茅台酒（飞天、五星）出厂价格，平均上调幅度约为20%。 目前，贵州茅台相关官方渠道并未就此发布相关内容。,2026-02-25 14:24:34,新京报,http://finance.eastmoney.com/a/202602253653958259.html
600519,飞天茅台出厂价上调至1299元？贵州茅台回应,截至午间收盘，贵州茅台报1504.77元/股，涨2.59%，总市值为1.88万亿元。,2026-02-25 13:35:10,21世纪经济报道,http://finance.eastmoney.com/a/202602253653901283.html
